id,source,question,resolution_criteria,background,market_info_open_datetime,market_info_close_datetime,market_info_resolution_criteria,url,freeze_datetime,freeze_datetime_value,freeze_datetime_value_explanation,source_intro,combination_of,forecast_due_date,direction,resolution_date,resolved_to,resolved
cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,wikipedia,"According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,17.0,Shakhriyar Mamedyarov's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,wikipedia,"According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,17.0,Shakhriyar Mamedyarov's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,wikipedia,"According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,17.0,Shakhriyar Mamedyarov's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,wikipedia,"According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,17.0,Shakhriyar Mamedyarov's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,wikipedia,"According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,17.0,Shakhriyar Mamedyarov's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,wikipedia,"According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,17.0,Shakhriyar Mamedyarov's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,wikipedia,"According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,17.0,Shakhriyar Mamedyarov's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,wikipedia,"According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,17.0,Shakhriyar Mamedyarov's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
c907f6c2f20d03900179318b2eb8027873677867b8b7f9d2d5766809237502d5,wikipedia,"According to Wikipedia, will Magnus Carlsen have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,1.0,Magnus Carlsen's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
c907f6c2f20d03900179318b2eb8027873677867b8b7f9d2d5766809237502d5,wikipedia,"According to Wikipedia, will Magnus Carlsen have a FIDE ranking on {resolution_date} as high or higher than their ranking on {forecast_due_date}?",Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.,"The International Chess Federation (FIDE) governs international chess competition. Each month, FIDE publishes the lists 'Top 100 Players', 'Top 100 Women', 'Top 100 Juniors' and 'Top 100 Girls' and rankings of countries according to the average rating of their top 10 players and top 10 female players.
To create the rankings, FIDE uses the Elo rating system, which is a method for calculating the relative skill levels of players in zero-sum games such as chess. The difference in the ratings between two players serves as a predictor of the outcome of a match. Two players with equal ratings who play against each other are expected to score an equal number of wins. A player whose rating is 100 points greater than their opponent's is expected to score 64%; if the difference is 200 points, then the expected score for the stronger player is 76%.
A player's Elo rating is a number which may change depending on the outcome of rated games played. After every game, the winning player takes points from the losing one. The difference between the ratings of the winner and loser determines the total number of points gained or lost after a game. If the higher-rated player wins, then only a few rating points will be taken from the lower-rated player. However, if the lower-rated player scores an upset win, many rating points will be transferred. The lower-rated player will also gain a few points from the higher rated player in the event of a draw. This means that this rating system is self-correcting. Players whose ratings are too low or too high should, in the long run, do better or worse correspondingly than the rating system predicts and thus gain or lose rating points until the ratings reflect their true playing strength.
Elo ratings are comparative only, and are valid only within the rating pool in which they were calculated, rather than being an absolute measure of a player's strength.",N/A,N/A,N/A,https://en.wikipedia.org/wiki/FIDE_rankings,2024-11-28T00:00:00+00:00,1.0,Magnus Carlsen's FIDE ranking.,Wikipedia is an online encyclopedia created and edited by volunteers. You're going to predict how questions based on data sourced from Wikipedia will resolve.,N/A,2024-12-08,,2024-12-15,1.0,True
