prompt_id,Prompt Name,Draft Prompt,Notes
1,Control,"Please answer the following question with a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.

{Question}",
39,Anthropic prompt generator,"You are tasked with providing a probabilistic estimate for a given question. Your goal is to analyze the question, consider relevant factors, and provide a well-reasoned probability estimate between 0% and 100%.

Follow these steps:

1. Carefully read and analyze the question provided.
2. Consider all relevant factors, context, and available information related to the question.
3. Think through the likelihood of the event or outcome described in the question.
4. Evaluate any uncertainties or potential biases in your reasoning.
5. Determine a probability estimate between 0% and 100% based on your analysis.

Before providing your final answer, use the <reasoning> tags to explain your thought process and justify your estimate. Consider multiple perspectives and any key factors that influenced your decision.

After your reasoning, provide your final probability estimate in the format ""Forecast: X%"" where X is your numerical estimate between 0 and 100.

Here is the question to analyze:

<question>
{Question}
</question>

Begin your response with your reasoning, followed by your forecast as 'Forecast: X%'.",Automatic prompt benchmark (https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/prompt-generator)
40,Anthropic “Improve an existing prompt”,"You are an expert forecaster tasked with providing accurate probabilistic estimates for various questions. Your goal is to analyze the given question, consider all relevant factors, and provide a well-reasoned forecast.

Here is the question you need to forecast:

<question>
{Question}
</question>

Instructions:
1. Carefully read and analyze the question.
2. Use the following analysis process to develop your forecast:
 a. List and number the relevant factors that could influence the outcome.
 b. Consider any historical data, trends, or patterns that might be applicable.
 c. Evaluate potential biases or uncertainties that could affect your estimate.
 d. Present arguments for both high and low probability outcomes.
 e. Quantify the impact of each factor on a scale of 1-10 (1 being lowest impact, 10 being highest).
 f. Combine the factors and their impacts to arrive at a preliminary probabilistic estimate.
 g. Adjust your estimate based on your confidence level and potential biases.
 h. Synthesize all the information to arrive at a final probabilistic estimate.
 i. Assess your confidence level in the forecast (low, medium, or high).

3. After completing your analysis, provide your forecast as a percentage between 0% and 100%.
4. Format your final response exactly as follows: 'Forecast: X%'.
 Confidence: [Low/Medium/High]

 Where X is your numerical estimate.

Example output (using a generic question):
Forecast: 75%
Confidence: Medium

Remember to use your expertise and critical thinking skills to provide the most accurate forecast possible based on the available information. Wrap your analysis inside <analysis> tags.",Automatic prompt improvement benchmark (https://www.anthropic.com/news/prompt-improver)
41,OpenAI Prompt Generator,"Provide a probabilistic estimate for the given question in a format that includes an explicit percentage.
# Steps
1. Analyze the question to determine any underlying factors or variables that might influence the estimate.
2. Consider relevant data, trends, or knowledge that might influence the probability.
3. Based on your reasoning, assign a probabilistic estimate to the question, expressed as a percentage.
# Output Format
Your response should be formatted as: `Forecast: X%`, where X is the probabilistic estimate ranging from 0% to 100%.
# Examples
**Input:**
""Will it rain tomorrow in New York?""
**Output:**
""Forecast: 40%""
# Question
{Question}",Automatic prompt benchmark (https://platform.openai.com/docs/guides/prompt-generation)
42,Base Rate First + Chain of Thought,"Approach this question step-by-step, explaining your reasoning at each stage. 

Before considering the specific details of this question, what is the historical frequency of similar events? Using this base rate as your starting point, adjust your probability estimate based on the particular circumstances of this case.

Then provide a probabilistic estimate expressed between 0% and 100%. Format your response as: 'Forecast: X%'.

{Question}",Top performing human-motivated + LLM-motivated prompt
43,Frequency-Based Reasoning + Chain of Thought,"Approach this question step-by-step, explaining your reasoning at each stage. Out of 100 similar cases, in how many would the event occur? Then provide a probabilistic estimate between 0% and 100%, formatted as: 'Forecast: X%'.

{Question}",Top performing human-motivated + LLM-motivated prompt
44,Step-Back + Hypothetical Scenario Analysis,"For the following question, identify the high-level principle or abstraction that could guide your reasoning. Clearly state this principle. Imagine different scenarios where the event does or does not occur. How do these affect your prediction? Then provide a probabilistic estimate between 0% and 100%, formatted as: 'Forecast: X%'.


{Question}",Top performing human-motivated + LLM-motivated prompt
45,Base Rate First + Frequency-Based Reasoning,"Please answer the following question. Before considering the specific details of this question, what is the historical frequency of similar events? Using this base rate as your starting point, adjust your probability estimate based on the particular circumstances of this case. Out of 100 similar cases, in how many would the event occur? Then provide a probabilistic estimate between 0% and 100%, formatted as: 'Forecast: X%'.
{Question}",Top performing human-motivated + human-motivated prompt
46,Hypothetical Scenario Analysis + Premortem,"Please answer the following question. Imagine different scenarios where the event does or does not occur. How do these affect your prediction? 
Imagine two scenarios and analyse how they unfolded:
Success: It's one year from now and the outcome has definitely occurred. What chain of events and factors led to this outcome?
Failure: It's one year from now and the question has definitely not occurred. What chain of events and factors prevented this outcome?
After considering both scenarios carefully, provide a probabilistic estimate between 0% and 100%, formatted as: 'Forecast: X%'.

{Question}",Top performing human-motivated + human-motivated prompt
47,Chain of Thought + Deep Breath,"Take a deep breath. Then approach this question step-by-step, explaining your reasoning at each stage. Then provide a probabilistic estimate expressed between 0% and 100%. Format your response as: 'Forecast: X%'.

{Question}",Top performing LLM-motivated + LLM-motivated
