id,question_id,prompt_id,prompt,model_name,model_provider,temperature,max_tokens,response,tokens,n_forecasts,forecast
97,dbnomics_meteofrance_TEMPERATURE_celsius.81405.D,1,"Please answer the following question with a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.

What is the probability that the daily average temperature at the French weather station at Cayenne – Félix Éboué Airport will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.81405.D once the data is published.",gpt-4o-2024-11-20,OpenAI,0,2000,Forecast: 52%,472,1,0.52
6107,polymarket_0x4b1741127012a0e4d884c65fbb01628778dc03486dd6c55cefce972950db93a4,43,"Approach this question step-by-step, explaining your reasoning at each stage. Out of 100 similar cases, in how many would the event occur? Then provide a probabilistic estimate between 0% and 100%, formatted as: 'Forecast: X%'.

Doge ETF approved in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://polymarket.com/market/doge-etf-approved-in-2024.",gpt-4o-2024-11-20,OpenAI,0,2000,"Below is a step-by-step outline of how one might reason about the chances of a DOGE ETF being approved in 2024, followed by a final probabilistic forecast. Please note this is purely an informal estimation, not legal or financial advice, and real-world outcomes depend on many unpredictable factors.

───────────────
1) Regulatory landscape for crypto ETFs
   • So far, the U.S. Securities and Exchange Commission (SEC) has largely stuck to allowing futures-based Bitcoin ETFs and has not yet approved spot Bitcoin ETFs. Approvals for altcoin ETFs are even less common.  
   • The SEC typically expresses concerns related to market manipulation and investor protections, making approvals for smaller or more volatile cryptocurrencies more challenging.

2) Comparison to existing or prospective ETFs
   • Even major cryptocurrencies like Ethereum only recently gained broader acceptance for futures-based ETFs.  
   • For DOGE, there has been no widely publicized push or application (at least none as prominent as the Bitcoin and Ethereum ETF applications). That lack of known proposals or mainstream institutional support decreases the likelihood of near-term approval.

3) Market sentiment and institutional interest
   • DOGE often gains attention from social media and prominent figures but does not appear to have the same institutional support as Bitcoin or Ethereum.  
   • Without visible backing from major financial or fund management institutions, an approval in 2024 (especially if the SEC remains cautious) seems less probable.

4) Overall assessment
   • Historically, obtaining SEC approval for crypto-related ETFs—especially for altcoins—has been a difficult process.  
   • Given the limited precedent and low momentum specifically for a DOGE ETF, it appears unlikely an approval will arrive in 2024.

5) Estimated likelihood
   • Based on the above reasoning, out of 100 similar hypothetical cases, the event of a DOGE-specific ETF being approved in 2024 might happen only a handful of times—suggesting a very low probability.

───────────────
Conclusion
Out of 100 hypothetical scenarios, it might occur in about 5 cases.

Forecast: 5%",1202,1,0.05
5757,polymarket_0xebd09819ef04d3d8c255e4012c96bb7d4e37315d0b96e8d9ec82c1ad010799d4,49,"Please answer the following question. 

Before considering the specific details of this question, what is the historical frequency of similar events? Using this base rate as your starting point, adjust your probability estimate based on the particular circumstances of this case.

Before providing your answer, generate a list of pros and cons (reasons why the outcome is likely or unlikely to happen).
Imagine two scenarios and analyse how they unfolded:
Success: It's one year from now and the outcome has definitely occurred. What chain of events and factors led to this outcome?
Failure: It's one year from now and the question has definitely not occurred. What chain of events and factors prevented this outcome?
Imagine different scenarios where the event does or does not occur. How do these affect your prediction? 

Out of 100 similar cases, in how many would the event occur? 

Then provide a probabilistic estimate between 0% and 100%, formatted as: 'Forecast: X%'.

Will Ethereum hit $15k in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://polymarket.com/market/will-ethereum-hit-15k-in-2024.",gpt-4o-2024-11-20,OpenAI,0,2000,"Below is a general, informational analysis that is not intended as financial or investment advice. Any investment decision should be made only after careful consideration of personal circumstances and professional guidance.

────────────────────────────────────────────────────────
1. PROS AND CONS
────────────────────────────────────────────────────────

Pros (Reasons it could reach $15k):
• Market Cycles and Halving Effects: Bitcoin’s halving in 2024 may buoy overall crypto sentiment, potentially boosting Ethereum’s price.  
• Continued Network Development: Upgrades (such as scalability solutions) could spark optimism and adoption, leading to price appreciation.  
• Institutional Interest: Greater institutional investment and wider acceptance of crypto as an asset class could accelerate Ethereum’s price rise.  
• Economic/Fiscal Environment: Loose monetary policy or growing interest in “hard” or “decentralized” assets might benefit ETH.  

Cons (Reasons it might not reach $15k):  
• Macroeconomic Pressures: Rising interest rates, recession fears, or financial instability could damage investor sentiment toward risk-on assets like crypto.  
• Regulatory Uncertainty: Potential regulatory crackdowns or adverse legal rulings could slow Ethereum’s adoption and dampen prices.  
• Scalability or Security Issues: Any major technical setbacks, security incidents, or smart contract vulnerabilities may erode investor confidence.  
• Competition and Market Saturation: Increasing competition from other layer-1 blockchains or alternative technological solutions might limit Ethereum’s relative gains.  

────────────────────────────────────────────────────────
2. SUCCESS AND FAILURE SCENARIOS
────────────────────────────────────────────────────────

Success Scenario (One year from now, Ethereum has hit $15k):  
• Favorable Macro Climate: Inflation concerns ease, interest rates stabilize or fall, and the economic backdrop turns risk-friendly.  
• Crypto Market Bull Run: Bitcoin’s halving triggers broad enthusiasm for crypto assets. Ethereum, benefiting from a strong brand and developer ecosystem, sees renewed institutional interest.  
• Scaling Milestones Achieved: Upgrades like sharding or layer-2 solutions improve Ethereum’s transaction throughput, addressing concerns over fees and congestion.  
• Positive Regulatory Climate: More countries offer crypto-friendly legislation or frameworks, attracting larger pools of capital.  

Failure Scenario (One year from now, Ethereum has not reached $15k):  
• Risk-Off Environment: A sustained global recession, higher interest rates, or a lack of investor appetite for speculative assets hinders crypto price growth.  
• Regulatory Headwinds: Stringent government rules or negative legal judgments cause uncertainty and limit large-scale adoption or discourage institutional funds.  
• Network Concerns: Major upgrades are delayed or face technological problems, causing user frustration and/or competitor blockchains to gain market share.  
• Market Saturation: Broader crypto sector remains stagnant or sees only moderate growth, failing to replicate the high bullish momentum of previous cycles.  

────────────────────────────────────────────────────────
3. INCORPORATING THESE SCENARIOS INTO A PROBABILITY ESTIMATE
────────────────────────────────────────────────────────
Imagining different outcomes helps illustrate the range of possibilities. If the market undergoes a favorable cycle (Success scenario), Ethereum could plausibly climb to a new all-time high and push toward $15k. However, headwinds—especially macroeconomic and regulatory—could easily prevent such a lofty target.

────────────────────────────────────────────────────────
4. BASE RATE AND ADJUSTED ESTIMATE
────────────────────────────────────────────────────────
• Historical Frequency (Base Rate): Large-cap crypto assets occasionally experience exponential runs, but hitting a threshold like $15k is a significant leap. Historically, Ethereum has often exceeded expectations in bull markets, yet $15k remains well above its all-time high (~$4,800 in 2021).  
• Adjusted Estimation: Considering ongoing development, market cycles, and the variety of factors above, the chance of reaching $15k appears neither negligible nor highly likely.  

Out of 100 similar cases, it might occur around 20 times (i.e., an approximate 1-in-5 chance) under present assumptions. That is a subjective interpretation informed by past crypto bull runs, the upcoming Bitcoin halving, and potential regulatory developments.

────────────────────────────────────────────────────────
5. FINAL PROBABILISTIC ESTIMATE
────────────────────────────────────────────────────────
Forecast: 20%

────────────────────────────────────────────────────────
Disclaimer:
This forecast is purely informational and reflects a hypothetical opinion based on limited, publicly available data. It is not guaranteed, nor should it substitute for personalized financial, legal, or investment advice.  ",1801,1,0.2
2002,fred_IHLIDXUSTPSOFTDEVE,39,"You are tasked with providing a probabilistic estimate for a given question. Your goal is to analyze the question, consider relevant factors, and provide a well-reasoned probability estimate between 0% and 100%.

Follow these steps:

1. Carefully read and analyze the question provided.
2. Consider all relevant factors, context, and available information related to the question.
3. Think through the likelihood of the event or outcome described in the question.
4. Evaluate any uncertainties or potential biases in your reasoning.
5. Determine a probability estimate between 0% and 100% based on your analysis.

Before providing your final answer, use the <reasoning> tags to explain your thought process and justify your estimate. Consider multiple perspectives and any key factors that influenced your decision.

After your reasoning, provide your final probability estimate in the format ""Forecast: X%"" where X is your numerical estimate between 0 and 100.

Here is the question to analyze:

<question>
Will the number of US software development job postings on Indeed have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/IHLIDXUSTPSOFTDEVE once the data is published.
</question>

Begin your response with your reasoning, followed by your forecast as 'Forecast: X%'.",gpt-4o-2024-11-20,OpenAI,0,2000,"<reasoning>
1. Historical data indicates that software development job postings tend to grow over longer time horizons, reflecting continued demand for tech talent.  
2. However, December often sees slower postings due to the holiday season, making week-to-week increases less certain.  
3. Given this is only a one-week interval (from 2024-12-08 to 2024-12-15), any fluctuations may be modest and influenced by short-term factors (e.g., end-of-year budgets, holiday hiring slowdowns).  
4. Balancing the overall upward trend in tech hiring with typical seasonal dips, I estimate a slightly better-than-even chance that postings will have increased by this date.  
</reasoning>

Forecast: 55%  ",1381,1,0.55
3272,manifold_Cjc9jjkQvT0hBWFGoaN7,46,"Please answer the following question. Imagine different scenarios where the event does or does not occur. How do these affect your prediction? 
Imagine two scenarios and analyse how they unfolded:
Success: It's one year from now and the outcome has definitely occurred. What chain of events and factors led to this outcome?
Failure: It's one year from now and the question has definitely not occurred. What chain of events and factors prevented this outcome?
After considering both scenarios carefully, provide a probabilistic estimate between 0% and 100%, formatted as: 'Forecast: X%'.

Will the front line in Ukraine change significantly in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/PS/will-the-front-line-in-ukraine-chan-8cf89160dcb2.",gpt-4o-2024-11-20,OpenAI,0,2000,"Success Scenario (Significant Change):
• Over the next year, Ukraine continues receiving advanced weaponry and ammunition from partner nations, including systems capable of breaching heavily fortified Russian positions.  
• New training rotations and mobilizations boost Ukraine’s manpower and expertise, enabling them to exploit vulnerabilities along the front, especially in areas where Russian logistics or morale are weakest.  
• A breakthrough occurs in one or more critical sectors (e.g., south toward the Sea of Azov), and Ukraine is able to translate that momentum into a broader territorial shift.  
• Political pressures in Russia—economic strain, internal dissent, or external diplomatic challenges—undermine the capacity to reinforce or hold occupied areas, further increasing the pace of Ukrainian advances.  

Failure Scenario (Minimal or No Significant Change):
• Despite some local offensives and counteroffensives, both sides remain locked in a stalemate, with Russia maintaining sufficient defense-in-depth tactics and fortifications to prevent large Ukrainian gains.  
• The depletion of key resources (ammunition stockpiles, artillery, manpower reserves) slows offensive operations to a crawl, preventing either side from sustaining the pressure needed for decisive breakthroughs.  
• Mounting weariness among Ukraine’s international backers results in a slower or more limited supply of advanced weaponry, limiting Ukraine’s ability to shift the strategic balance.  
• Domestic pressures—economic difficulties, humanitarian crises, leadership changes—distract from or hamper major offensive efforts.  

Balancing these possibilities, my current judgment is that there is a modest but real chance of a material shift in the front line next year, given the ongoing efforts on both sides to achieve breakthroughs. However, entrenched defenses and finite resources could keep changes more incremental than decisive.

Forecast: 60%",1322,1,0.6
7682,wikipedia_cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,54,"You are an expert superforecaster, familiar with the work of Tetlock and others. Make a prediction of the probability that the question will be resolved as true. You MUST give a probability estimate between 0 and 1 UNDER ALL CIRCUMSTANCES. If for some reason you can’t answer, pick the base rate, but return a number between 0 and 1.

According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on 2024-12-15 as high or higher than their ranking on 2024-12-08?

Resolution Criteria: Resolves to the value calculated from https://en.wikipedia.org/wiki/FIDE_rankings on the resolution date.

Output your answer (a number between 0 and 100) as ""Forecast: X%"". Do not output anything else.

Answer: { Insert answer here }",gpt-4o-2024-11-20,OpenAI,0,2000,Forecast: 42%,400,1,0.42
5812,polymarket_0x1ab07117f9f698f28490f57754d6fe5309374230c95867a7eba572892a11d710,41,"Provide a probabilistic estimate for the given question in a format that includes an explicit percentage.
# Steps
1. Analyze the question to determine any underlying factors or variables that might influence the estimate.
2. Consider relevant data, trends, or knowledge that might influence the probability.
3. Based on your reasoning, assign a probabilistic estimate to the question, expressed as a percentage.
# Output Format
Your response should be formatted as: `Forecast: X%`, where X is the probabilistic estimate ranging from 0% to 100%.
# Examples
**Input:**
""Will it rain tomorrow in New York?""
**Output:**
""Forecast: 40%""
# Question
Will 'Inside Out 2' gross most in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://polymarket.com/market/will-inside-out-2-gross-most-in-2024.",gpt-4o-2024-11-20,OpenAI,0,2000,Forecast: 10%,1298,1,0.1
2252,fred_RESPPANWW,51,"Please answer the following question. 

Before considering the specific details of this question, what is the historical frequency of similar events? Using this base rate as your starting point, adjust your probability estimate based on the particular circumstances of this case.

Before providing your answer, generate a list of pros and cons (reasons why the outcome is likely or unlikely to happen).
Imagine two scenarios and analyse how they unfolded:
Success: It's one year from now and the outcome has definitely occurred. What chain of events and factors led to this outcome?
Failure: It's one year from now and the question has definitely not occurred. What chain of events and factors prevented this outcome?
Imagine different scenarios where the event does or does not occur. How do these affect your prediction? 

Out of 100 similar cases, in how many would the event occur? 

Approach this question step-by-step, explaining your reasoning at each stage. Identify the high-level principle or abstraction that could guide your reasoning. Clearly state this principle. Then, let’s repeat the question.

Then provide a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.

Will the total dollar amount of assets held by all US Federal Reserve banks have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/RESPPANWW once the data is published.",gpt-4o-2024-11-20,OpenAI,0,2000,,2000,0,No forecast given
9197,yfinance_ADSK,53,"In this chat, you are a superforecaster who has a strong track record of accurate forecasting. You evaluate past data and trends carefully for potential clues to future events, while recognising that the past is an imperfect guide to the future so you will need to put probabilities on possible future outcomes (ranging from 0 to 100%). Your specific goal is to maximize the accuracy of these probability judgments by minimising the Brier scores that your probability judgments receive once future outcomes are known. Brier scores have two key components: calibration (across all questions you answer, the probability estimates you assign to possible future outcomes should correspond as closely as possible to the objective frequency with which outcomes occur) and resolution (across all questions, aim to assign higher probabilities to events that occur than to events that do not occur). You outline your reasons for each forecast: list the strongest evidence and arguments for making lower or higher estimates and explain how you balance the evidence to make your own forecast. You begin this analytic process by looking for reference or comparison classes of similar events and grounding your initial estimates in base rates of occurrence (how often do events of this sort occur in situations that look like the present one?). You then adjust that initial estimate in response to the latest news and distinctive features of the present situation, recognising the need for flexible adjustments but also the risks of over-adjusting and excessive volatility. Superforecasting requires weighing the risks of opposing errors: e.g., of failing to learn from useful historical patterns vs. over-relying on misleading patterns. In this process of error balancing, you draw on the 10 commandments of superforecasting (Tetlock & Gardner, 2015) as well as on other peer-reviewed research on superforecasting: 1. Triage 2. Break seemingly intractable problems into tractable sub-problems 3. Strike the right balance between inside and outside views 4. Strike the right balance between under- and overreacting to evidence 5. Look for the clashing causal forces at work in each problem 6. Strive to distinguish as many degrees of doubt as the problem permits but no more 7. Strike the right balance between under- and overconfidence, between prudence and decisiveness 8. Look for the errors behind your mistakes but beware of rearview-mirror hindsight biases 9. Bring out the best in others and let others bring out the best in you 10. Master the error-balancing bicycle Once you have written your reasons, ensure that they directly inform your forecast. Then, you will provide me with a number between 0 and 100 (up to 2 decimal places) that is your best prediction of the event in the following format: ""Forecast: X%"". Take a deep breath and work on this problem step-by-step. The question that you are forecasting as well as some background information and resolution criteria are below. Read them carefully before making your prediction.

Will ADSK's market close price on 2024-12-15 be higher than its market close price on 2024-12-08?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.

Resolution Criteria: Resolves to the market close price at https://finance.yahoo.com/quote/ADSK for the resolution date. If the resolution date coincides with a day the market is closed (weekend, holiday, etc.) the previous market close price is used.",gpt-4o-2024-11-20,OpenAI,0,2000,,2000,0,No forecast given
5027,polymarket_0x154efa11ed56deca4d0d06adf2bb711a420f5128f2a274be0d6631ed4380ca78,55,"Instructions:
1. Provide reasons why the answer might be no.
{ Insert your thoughts }
2. Provide reasons why the answer might be yes.
{ Insert your thoughts }
3. Aggregate your considerations.
{ Insert your aggregated considerations }
4. Output your answer (a number between 0 and 100) as ""Forecast: X%"" 
{ Insert your answer }

Will four SpaceX Starship launches successfully reach outer space in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://polymarket.com/market/will-four-spacex-starship-launches-successfully-reach-outer-space-in-2024.",gpt-4o-2024-11-20,OpenAI,0,2000,"1. Provide reasons why the answer might be no.
{ 
• The Starship program timeline has already experienced several delays, indicating that multiple launches in quick succession could be optimistic.  
• Regulatory approvals (e.g., FAA) can be time-consuming and may create unexpected barriers to frequent launches.  
• Addressing technical hurdles on such a large, complex vehicle can slow down progress more than anticipated, especially as operational reliability is still under development.  
• SpaceX might reprioritize resources to other projects (like Falcon 9 or other business ventures) that could limit Starship’s rapid iteration cycle.  
}

2. Provide reasons why the answer might be yes.
{ 
• SpaceX has a history of learning quickly through iterative testing, which could resolve technical issues at a rapid pace.  
• The company is highly motivated, with NASA contracts (e.g., lunar lander development) providing urgency for Starship success.  
• The first Starship orbital test, despite partial failure, provided valuable data that could significantly improve subsequent Starship designs.  
• SpaceX's track record with Falcon 9 reusability and high launch cadence shows capability to scale launches quickly once initial hurdles are overcome.  
}

3. Aggregate your considerations.
{ 
In weighing these factors, SpaceX’s proven adaptability and iterative design process are strong points suggesting progress will be faster than traditional aerospace programs. However, Starship is still in early development, and the path to reliability may require more than a calendar year before it can support multiple successful launches. Overall, the push from NASA and SpaceX’s ambition are likely to accelerate progress, yet delays from technical and regulatory challenges remain significant risks.  
}

4. Output your answer (a number between 0 and 100) as ""Forecast: X%""
{ Forecast: 60% }",1082,1,0.6
